gene_id	string_protein_id	propagate_score
CALM3	9606.ENSP00000291295	0.0004022766274571588
RAC2	9606.ENSP00000249071	0.00022148428493546268
RALB	9606.ENSP00000272519	4.721884946274791e-05
KRAS	9606.ENSP00000256078	0.0009108660423644139
REPS2	9606.ENSP00000349824	1.5629599065102994e-05
RAC3	9606.ENSP00000304283	0.00017702075395083808
CALML5	9606.ENSP00000369689	0.00035128212757509243
RGL2	9606.ENSP00000420211	4.791387411661397e-05
CALML3	9606.ENSP00000315299	0.00034463751408496775
CALML6	9606.ENSP00000304643	0.00032823790308705327
RAB8A	9606.ENSP00000300935	0.00014207052236565561
HRAS	9606.ENSP00000407586	0.0007492496851261737
EXOC1	9606.ENSP00000370695	3.108565866294192e-05
EXOC4	9606.ENSP00000253861	3.789849255126906e-05
RALGPS2	9606.ENSP00000356607	7.521070902489935e-06
LRPAP1	9606.ENSP00000497444	4.2911694435146536e-05
CALML4	9606.ENSP00000419081	0.0003320935025585967
PLCD1	9606.ENSP00000430344	7.717143606860973e-05
CALM1	9606.ENSP00000499717	0.0001315069728159156
RAF1	9606.ENSP00000401888	0.000285935105225801
YBX3	9606.ENSP00000228251	5.653890974362321e-05
FLNC	9606.ENSP00000327145	7.969838233404293e-05
SRC	9606.ENSP00000362680	0.0011403080544701123
EXOC6	9606.ENSP00000260762	3.9917908610608435e-05
EXOC7	9606.ENSP00000334100	5.3985387480059085e-05
RALGDS	9606.ENSP00000361120	8.375906538778763e-05
EXOC2	9606.ENSP00000230449	3.442911376154194e-05
PLD2	9606.ENSP00000263088	9.486890472621104e-05
RGL1	9606.ENSP00000303192	3.694160420126373e-05
BAIAP2L1	9606.ENSP00000005260	1.1046920020838929e-05
WASL	9606.ENSP00000223023	0.00013991433670164542
WAS	9606.ENSP00000365891	0.0001450748233785747
ALG5	9606.ENSP00000239891	1.3921054839232413e-05
EPS8	9606.ENSP00000494689	4.216841788913579e-05
WASF2	9606.ENSP00000483313	8.485936200921665e-05
ALG3	9606.ENSP00000380793	1.7727578230630882e-05
CDC42	9606.ENSP00000497733	0.0008220803967007808
BAIAP2	9606.ENSP00000316338	7.237015845715502e-05
ALG12	9606.ENSP00000333813	2.625733740862276e-05
CACNG3	9606.ENSP00000005284	4.443611692082692e-05
CACNB2	9606.ENSP00000320025	4.495702164025529e-05
GRIA4	9606.ENSP00000282499	4.730108779314273e-05
TMEM249	9606.ENSP00000454468	2.419869311243004e-05
CATSPER2	9606.ENSP00000371180	2.7416057517307662e-05
CACNG7	9606.ENSP00000375647	5.870199660144787e-05
CACNA2D1	9606.ENSP00000349320	4.300999545762642e-05
CACNA1F	9606.ENSP00000365441	7.09943822530694e-05
